Tip,Paylaþým,,,,
Pozitif,"Reis bu görseli hazýrlayanlar daha laboratuvar yazmayý öðrenememiþ, sen hâlâ nitelikli eðitimden bahsediyorsun",,,,
Pozitif,"Günaydýn..Bir tavsiyemi sizlerle paylaþmak isterim: grip aþýsý ülkemize gelir gelmez mutlaka yaptýrmaya çalýþýn...Sonbaharda ortaya çýkacak muhtemel influenza salgýnýnýn, Covid-19’la birleþmesi sonucu saðlýk sistemimize yapacaðý baskýyý azaltmak adýna önemli.",,,,
Pozitif,"kýzlar bu yaþýna kadar en az bir kere sözlü ya da fiziksel tacize uðramayan var mý aranýzda? yok. çünkü bu durumun geç dýþarý çýkmakla, giyiniþle alakasý yok ama anlatamazsýn bu zihniyete",,,,
Pozitif,Kendime kýzamýyorum çünkü kendimi çok seviyorum,,,,
Pozitif,"Mardin’de, 15 yaþýndaki Ayüke Sadýk’dan 4 gündür haber alýnamýyor.Ailesi kaçýrdýðýndan þüphe ediyor, seslerini duyurmak istiyor.",,,,
Pozitif,Abi kadýnlarýmýz için hayvanlarýmýz için 4 yýldýr her gün yýlmadan koþturdun þimdi en ufak bir þeyde linç edildin.Bundan sonra içinden gelecek mi yardým etmek?,,,,
Pozitif,Linç edenin yarýn bir derdi olsa yine koþacaðýz. Elimizden ne gelirse.Gücümüzün yettiði kadar herkese ve her þeye yetiþmeye çalýþacaðýz.,,,,
Pozitif,Erkekler bize Allah tarafýndan gönderilmiþ hediyelerdir. Fiþini atmadýysanýz hemen iade edebilirsiniz,,,,
Pozitif,"""Daha kötü ne görebiliriz ki"" dediðimiz günün ertesinde daha kötüsüyle karþý karþýya kalýyoruz... Bitmiyor…",,,,
Negatif,"Birlikte olduðun kadýnlarýn topuklarýna sýktýrmýþ insan müsveddesi mi söylüyor bunlarý? Yüzünüz de kýzarmýyor, pes.",,,,
Pozitif,Sadece öldürülen bir kadýn için eylem yapýyordu.Hiç bir tecavüzcü böyle yaka paça gözaltýna alýnmadý!,,,,
Pozitif,"Senin için kalbine sýkan kadýnýn mezarý baþýnda da 'Nihal,ah Nihal..’’ demezsin ya",,,,
Pozitif,"Hatay'da, 'Goldi' isimli Golden Retreiver cinsi köpeði býçaklayarak yaralayan S.A.(28), gözaltýna alýnýp serbest býrakýldýktan sonra geri gelip yeniden býçakladý. Ölen Goldi'nin sahibi Nejdet Randa, ""Köpeðimizi önce yaraladý, salýverildikten sonra da geri gelip öldürdü"" dedi.",,,,
Pozitif,"Bu kadar nefret olmaz ! Ak Partili Þile Belediyesi, Ahþap Banklardan Ýstanbul Büyükþehir Belediyesi yazýlarýný söküp, Þile Belediyesi yazarak, Þileye hizmet götürdüðünüzü mü zannediyorsunuz?",,,,
Pozitif,Netflix'te köpeðe tecavüz sahnesi yok!,,,,
Pozitif,"Yeni Ay’da baþladýk çekimlere, Atiye’nin mucizeleri yine bizimle. Aylar süren bekleyiþten sonra tüm tedbirler alýndý ve yeniden baþladýk üretmeye! Atiye’nin ilk sezonuna gösterdiðiniz ilgi, sevgi ve destek için emeði geçen herkes adýna çok teþekkür ederim.",,,,
Pozitif,"Bir Kýzýlderili atasözü der ki: ""Benim hayatýmý yargýlamadan önce benim ayakkabýlarýmý giy ve benim geçtiðim yollardan, sokaklardan geç. Benim takýldýðým taþlara takýl yeniden ayaða kalk ve ayný yolu tekrar git benim gittiðim gibi anca o zaman beni yargýlayabilirsin.""",,,,
Pozitif,"Salgýnýn ülkemizdeki seyri, okullarýn 31 Aðustos’ta açýlma ihtimalini her geçen gün azaltýyor. Bence risk alýnmamalý, en azýndan ilk yarý yýl, sadece «aþaðýda belirttiðim» sýnýflarýn okula gelmesi, diðer sýnýflarýn ise uzaktan öðretime devam etmesi yerinde bir karar olacaktýr.",,,,
Pozitif,"Bilim, özellikle biyoloji/týp, çok zor bir süreçtir. Yaptýðýnýz çalýþmalarýn çoðu baþarýsýz olabilir hatta doðru bildiðinizin bir gün yanlýþ olduðunu anlayýp tam tersini ispatlamak zorunda kalabilirsiniz. Ama ne kadar öðrenip deneyim kazanýrsak, doðruya da o kadar yaklaþýrýz.",,,,
Pozitif,Türbanlýlarýn kadehte viþne suyu içme aþký,,,,
Pozitif,Mini etek mi giymiþti? Gece geç saatte sokakta mýydý? Cilveli miydi? Hayýr diyordu ama naz mý yapýyordu? Tecavüz için yüzlerce bahaneniz vardý. Þimdi bahaneniz neydi? ,,,,
Pozitif,' Yerdekilere merhamet edin ki göktekiler de size merhamet etsin.'',,,,
Pozitif,Netfilx'de bir dizi izledim adam köpeðe tecavüz edip iþkence ederek öldürüyordu ve sonra o adam tutuksuz yargýlanarak serbest býrakýldý,,,,
Negatif,Gözünü her kapandýðýnda canýn yansýn yaþadýðýn her saniye sana zehir olsun inþallah,,,,
Pozitif,"Artýk çocuðumuzu deðil , köpeðimizi emanet edemiyoruz kimseye.oyle bir çað. Öyle bir insanlýk",,,,
Negatif,"kopek kuyruk mu salladi,tahrik mi etti orospu cocugu (!) ceza istiyoruz. vermiyorsunuz. saliyorsunuz disari. o zaman herkes duysun bu serefsizin adini. gunlerdir ne kufur etmeye takatimiz ne igrencliklerinizi okumaya gucumuz kaldi. artik yeter!",,,,
Pozitif,"Köpeðini bile kimseye emanet edemeyeceðiniz igrenç bir çað düþünün.Ýþte biz tam o iðrençliðin içerisinde yaþýyoruz ve sapýklýðýn hala bir bedeli yok!Yasalar çýkýyor, sözde adalet kurumlarý çalýþýyor.Ama hala kadýnlarý, çocuklarý, hayvanlarý koruyamýyoruz!",,,,
Pozitif,"Büyükçekmece'de bir koca, 2 çocuðunun annesi olan 8 yýllýk eþini uykusunda boðarak öldürdü. Ekipler tarafýndan gözaltýna alýnan zanlý tutuklanarak cezaevine gönderildi.",,,,
Pozitif,Bugün herkes sinirlerimi ve sýnýrlarýmý zorlamaya oynuyor hadi bakalým,,,,
Pozitif,Aslýnda zorunluluk hissettim.Son yýllarda öldürülen kadýnlarýmýzýn tamamýna yakýnýna davada müdahil olduk. Çocuklarýna destek olduk.Mahkemelere gittik.Hala da gidiyoruz. Ne bileyim sanki söz hakkým olduðunu düþündüm. Fikirlerimi söyledim. Ama zamanlama hatalýydý diyebiliriz.,,,,
Pozitif,bundan sonra sadece þarký yap ve ahbap platformunu yönet. illa gündemdeki olaylarla ilgili açýklama yapmak zorunda deðilsin.,,,,
Pozitif,"Yanlýþ bir þey söylemedin, doðruydu yazdýðýn, ilk sinyaller çok önemli, maalesef çoðu kadýn iþaretleri görmek istemiyor, gözleri kör oluyor erkek karþýsýnda! Ben tvitinde herhangi bir hata görmedim.",,,,
Pozitif,"Üniversite senatolarý sadece Üniversiteye dair eðitim ve akademik ýþlerin konuþulduðu yer deðildir. Topluma karþý baþka sorumluluklarý da var. Üniversite Senatolarýndan özellikle kadýna, çocuða, hayvana ve doðaya karþý þiddeti kýnayan bildiriler bekliyorum.",,,,
Pozitif,"Kadýna, çocuða, hayvana ve doðaya þiddet giderek artýyor. Toplumsal hoþgörünün azalmasý ve kutuplaþma þiddeti destekliyor. Üniversite eðitimi sadece bir iþ bulma aracý deðildir, þiddete karþý, hukuka saygýlý, barýþý ve insanlýðý savunabilecek bireyler yetiþtirmelidir.",,,,
Pozitif,"Kadýnýn açýk olmasý,kuyruk sallamasý(ki ben hala o kuyruðu göremedim) bahane sayýlýyor tecavüz için, peki köpek ne yapsýn?! Tesettüre mi girsin köpek,bi de kuyruðu var düþünün!! Yine diyorum  ÖLEMEYÝN,yalvarýn ölmek için! ",,,,
Pozitif,"Ýstanbul Valisi Ali Yerlikaya: 'Misafirlerimizin en büyük arzularýnýn, Ayasofya Camisi'nde namaz kýlmak olduðunu biliyoruz. Ayasofya Camimiz sabaha kadar açýk olacak'",,,,
Pozitif,"Lisans bitiren her birey, kendi kendine lisans düzeyinde eðitim alacak seviyeye gelmiþtir. Yani en azýndan gözlemlerim ve tecrübelerim o yönde.",,,,
Pozitif,"”Köpekler dostlarýný sever, düþmanlarýný ýsýrýrlar. Bu açýdan insanlara hiç benzemezler. Saf sevgi yeteneðinden yoksun insanlar daima sevgiyle nefreti birbirine karýþtýrýrlar.”",,,,
Pozitif,Olimpiyat yarý finalinde koþarken adalesi kopan Derek Redmond gözyaþlarý içinde babasýnýn yardýmýyla yarýþý bitirmeye çalýþýyor,,,,
Pozitif,"Ýzmit'te, saðlýk çalýþanlarý maske ve sosyal mesafe konusunda uyarýlarýn bulunduðu döviz ve pankartlarla yürüyerek, vatandaþlara maske ve dezenfektan daðýtýp, doðru maske kullanýmý konusunda bilgi verdi.",,,,
Pozitif,Dikkatinizi çekiyor mu; yaklaþýk bir aydýr corona’dan ölen sayýsý 17-20 arasý sadece... Ne aþaðýsý ne yukarýsý,,,,
Pozitif,"Ýstanbul Valisi Yerlikaya: Misafirlerimizin en büyük arzularýnýn, Ayasofya Camisi'nde namaz kýlmak olduðunu biliyoruz. Ayasofya Camimiz sabaha kadar açýk olacak",,,,
Pozitif,"Bugün, güzel memleketim Hatay’ýn kurtuluþunun 81inci yýldönümü. Hepimize kutlu olsun. Bu vesileyle, “40 Asýrlýk Türk Yurdu Düþman Elinde Esir Kalamaz” sözünü yerine getiren, Cumhuriyet’imizin kurucusu, büyük Atatürk’ü sonsuz minnetle anýyoruz",,,,
Pozitif,"Çocuk iþçiliðini normalleþtiren, ücretli eðitimi mal baðýþlarmýþ gibi pazarlayan bakan. Akýl alýr gibi deðil!",,,,
Pozitif,"Geçtiðimiz pazar günü mevsimlik iþçilerin çocuklarýyla tarladaydým. Yaz tatili kitaplarýný, bir salkým domatesle takas ettik. Öðretmenlerimizden, müdürlerimizden bir ricam var: Yolunuzu tarlalara düþürün bu yaz. Çocuklara kitabýný verin, sohbetinizi verin lütfen",,,,
Pozitif,"Gazetedeki karikatür bantlarýndan birinde bugün, mizah yerine bir çizerin diðerine evlilik teklifi var. Kýzýn gazeteyi açýp karikatürü görüp þaþýrmasýný çizmiþ.",,,,
Pozitif,"Ankara'da, komþusunun köpeðine tecavüz edip öldüren Volkan Uzun serbest býrakýlmýþ.. çünkü kabahatler kanununa göre köpek eþya olarak görünüyor. para cezasý alýp kurtuluyorsun. ",,,,
Pozitif,"Türkiye'nin sismik araþtýrma gemisi Oruç Reis, Doðu Akdeniz'de yapacaðý sondaj çalýþmalarý için 'Navtex' (deniz duyurusu) ilaný ardýndan Antalya Limaný açýklarýnda bekleyiþini sürdürüyor.",,,,
Pozitif,Kýzkardeþimiz Gülistan Doku 200 gündür yok. 200 gündür arama çalýþmalarý yapýldýðý söyleniyor ama Zaynal Abakarov sorgulanmýyor.,,,,
Pozitif,Yýllarca kakao üretiminde çalýþan ama hayatlarý boyunca çikolata yememiþ Afrikalý iþçilerin ilk defa çikolata yedikleri anlar.,,,,
Pozitif,"Bu araç, kirlettiðimiz sularý temizliyor... Bu gidiþle bu tarz araçlarý çok görürüz.",,,,
Pozitif,"Ayasofya Camii'nde, ses denemeleri sýrasýnda okunan Amenarrasulü dinleyenleri mest etti",,,,
Pozitif,Ýlber Hoca' nýn da dedigi gibi çocuklarimýz þeker takibi  icin 2 saatte 1 parmaklarýný deldirmek istemiyorum. Gece huzurlu uykularindan sýçramayla uyanmak da. Büyüyüp geliþmeleri icin hatta hayatta kalmak icin ise önemli ölçüm yapmak.,,,,
Pozitif,Ýlber Ortaylý diyabetli çocuklarýn “Sensörler gelsin acýmýz dinsin” mesajýný destekliyor ve devlet yetkililerine çaðrýda bulunuyor. Çok teþekkür ederiz.  Kendisini Diyabetli Çocuklar Vakfý Diyabetli Çocuklar Elçisi olarak saygý ve sevgi ile selamlýyoruz.,,,,
Pozitif,"Deprem, Ýstanbulumuzun ve hatta Türkiyemizin en önemli gerçeðidir. Göreve geldiðimiz günden itibaren, bu gerçeði her fýrsatta, býkmadan usanmadan dile getirdik. Bu anlayýþýmýz çerçevesinde, Yapý Tespitleri Tarama Programý’ný baþlatýyoruz.",,,,
Pozitif,"Bilim Kurulu Üyesi Prof. Dr. Hasan Tezer, okullarýn 31 Aðustos’ta açýlýp açýlmamasýnda bayram sürecinin belirleyici olacaðýný söyledi.",,,,
Negatif,"Sosyal medyaya girdiðimde artýk görmeye dayanamýyorum ve ruh halim kaldýrmýyor. Kadýnlara, çocuklara ve hayvanlara  þiddet / tecavüz/ cinayet haberleri. Hiç durmuyor bitmiyor! Bence bu ülkeye bir süper kahraman lazm. Baþka kimsenin bu sadist piç kurularýna el atacaðý yok.",,,,
Pozitif,Staja gidiyorum' diyerek evden ayrýlan Yeliz Güner'den 5 yýldýr haber alýnamýyor,,,,
Pozitif,Yavru köpeðe tecavüz edip makat kanamasýndan öldüren insanýn “mala zarar vermekten” yargýlanýp 500? ödeyip kurtulmasýný aklým almýyor. Çok yakýnda bu yaptýklarýný insana da yapacaðý belli. Hayvanlara özel jandarma/polis ekibi kurmak anlamsýz.,,,,
Pozitif,"Antalya'da, bir sitenin havuzundaki çocuklarý izlemek için çöp konteynerinin üzerine çýkan 10 yaþýndaki kaðýt toplayýcýsý M.H., fotoðrafýnýn sosyal medyada paylaþýlmasý üzerine Konyaaltý Belediyesi ekipleri tarafýndan kardeþleriyle birlikte havuza götürüldü.",,,,
Pozitif,“Otogarlar düðün salonlarýndan daha samimi sarýlmalar görmüþtür ve hastane duvarlarý da cami duvarlarýndan daha fazla inanan.”,,,,
Negatif,Yemin ederim bu memleketin çivisi çýkmýþ. Naptý bu yavrucaðýz sana? Bu da mý tahrik etti þerefsiz. Mini etek mi  giydi? Cilve mi yaptý? Tecavüz meþrulaþtýrmak için onlarca bahane sunan haysiyet yoksunlarý þimdi bahaneniz ne?,,,,
Pozitif,Sebahattin Zaim Ýlkokulu Duraðý yol çalýþmasý nedeniyle kapalý olduðundan araçlar Avcýlar yönünde Rýfat Ilgaz Caddesi Duraðý' ndan sonra güzergahtan çýkýp Eðitim Uygulama Okulu Duraðý' ndan güzergaha girer.,,,,
Pozitif,Çirkin hayat yoktur o hayatý çirkinleþtiren insanlar vardýr.,,,,
Pozitif,bundan sonra bahçemizden çiçek koparan mezarýna diksin,,,,
Pozitif,Hayvanlara mal mualemesi yapmayý býrakýp onlarýn da bi caný olduðunu ne zaman anlayacaksiniz ya ,,,,
Pozitif,Yazip yazip siliyorum sinirden denk geldigimiz zamana bak seytandan daha kotusunuz,,,,
Pozitif,"Büyükçekmece'de Ünal Özcan isimli erkek, evli olduðu kadýný uykusunda boðarak öldürdü",,,,
Negatif,"Aklým almýyor bir insan köpeðe niye tecavüz eder? Nasýl bir yokluk ki onu cinsel açlýðý için kullanýr? Tipine baksan düzgün biri sanýrsýn þerefsiz,adi  sapýk.Benim artýk kadýn cinayeti, hayvan tecavüzü duyup kahrolacak gücüm kalmadý.Radikal cezalar gelsin! ",,,,
Negatif,o çocuklar da mevsimlik iþçi zaten... gelmiþ geçmiþ en þuursuz eðitim bakanýsýnýz,,,,
Pozitif,Tüm Ereðli patlamayý duymuþ hatta merkez bile lan gök gürültüsü sandým ben uyandým,,,,
Pozitif,Güne pozitif baþlayabilmem için güne akþamüstü baþlamam gerekiyor.,,,,
Pozitif,"“Vatan bir bütündür, parçalanamaz.”",,,,
Pozitif,"Muratpaþa Belediyespor kadýn hentbol takýmý, son antrenmanýnda Pýnar Gültekin için koþtu. ""Kadýna yönelik þiddet, þiddetin her biçimi gibi insanlýðýn yüz karasýdýr""",,,,
Pozitif,"Muðla'nýn Datça ilçesinde, 200 yýllýk tarihi yel deðirmeni turizme kazandýrýldý. Bakým ve onarýmdan geçirilen tarihi mekan meslek lisesi öðrencilerine, 'uygulama restoraný' olarak hizmet verecek.",,,,
Pozitif,"Peygamber develeri, genelde kendinden küçük böceklerle beslenir. Eðer protein ihtiyacýný tam karþýlayamaz ise iri örümcek, çýyan, yýlan, fare gibi kendinden büyük canlýlarla da beslenebilir.",,,,
Pozitif,"Paþa gönlüm nasýl isterse öyle davranýyorum Bundan sonra böyle, iþinize gelirse.",,,,
Pozitif,"Ne kadar þerefli bir aile olduklarý, yetiþtirdikleri insan müsvettesinden belli",,,,
Pozitif,"Pýnar Gültekin'in katili Cemal Metin Avcý'nýn ailesi, haberlerin engellenmesi için gizlilik talebinde bulundu ",,,,
Pozitif,Semiha Kavasoðlu... Ülkemizdeki milyonlarca iþsizden sadece birisi... 9 aydýr kirasýný ödeyemediði 2 artý bir evinde yatalak kocasý ile yaþam savaþý veriyor.2 yýldýr iþsiz... Dram filmi deðil acý bir hayat hikayesi! Türkiye’yi aðlatan kadýn hâlâ iþsiz,,,,
Pozitif,kefenin cebi olsa fotoðrafýný koyardým.,,,,
Pozitif,Kalori hesaplamalarýný epey kolaylaþtýracak bir olay. Tek tek hesaplamak zor oluyor mu?,,,,
Pozitif,Fýrsatýnýz olsa yurtdýþýnda yaþar mýsýnýz?,,,,
Pozitif,"Ýstanbul sözleþmesini okudum ve sözleþmenin iptal edilmesini öneren, Ýstanbul sözleþmesine yönelik hukuki ve psikososyal deðerlendirme raporunu da okudum. 2020 yýlýnda bu sözleþmeye bu savlarla karþý çýkmanýn mantýðýný bulamadým. Ýnsan sevmiyor olmak lazým, baþka izahý yok.",,,,
Pozitif,"Saðlýklý bir þekilde nefes alabilen kaldý mý? Kalbi sýkýþmadan oturabilen? 2 saat sonra hangi ölü, maðdur için ne yazacaðým diye düþünmeyen kaldý mý?",,,,
Pozitif,"Adil Bey çok üzüldük. Bütün saðlýk ar-ge camiasý sizinle harika bir uyum ve umut yakalamýþtý, çok güzel iþler yapýlýyordu. Tüseb aktif bir sürece girmiþti. Her iþte hayýr vardýr demekten baþka bir þey diyemiyorum. Emekleriniz, enerjiniz ve iþbirliðiniz için çok teþekkürler.",,,,
Pozitif,Covid testim pozitif çýkmýþ demeyelim de 14 günlük dinlenme hakký kazanmýþým diyelim..Evet arkadaþlar insan herkese olur da bana olmaz diye düþünüyor ama malesef öyle olmuyor.,,,,
Pozitif,"Erkekte kedi ve þarap sever olmasýna dikkat edin, onlardan psikopat sapýk çýkmýyor",,,,
Pozitif,"Ýnsanlýk yeni nesiller için güzel bir gelecek býrakma hayalinden vazgeçti, herkes kendi kýsa ömründe en fazla hazzý alabilmek için yarýþ içerisinde.",,,,
Pozitif,Bir çiçeði büyüten sevgi insaný deðiþtirmez mi sanýyorsun?,,,,
Pozitif,Mesleðimizin hakettiði deðeri bulmasý tek ümidimiz.,,,,
Pozitif,Belçika’da suyun içine inþa edilen bisiklet yolu.,,,,
Pozitif,Nasýl bir insan þu canlýlara kýyýp canýný yakabilir,,,,
Pozitif,Pnömoni aþýsý Covid in ciddi seyrinden sizi korur. Kýþ geliyor ve durum vahimleþmeden olun.,,,,
Pozitif,"Fatma tecavüze uðradý, jandarmaya gitti ama duymadilar sesini. Çocuklarýný korumaya çalýþtý, onlarý býrakýp gidemedi. 7.5 aylýk hamileyken öldürüldü Fatma. Þimdi zanlý serbest. Fatma yaþarken adalete eriþemedi, öldü, þimdi biz arayacaðýz adaleti onun için.",,,,
Pozitif,"Çöp konteyneri üzerinden havuzdaki yaþýtlarýný izleyen kaðýt toplayýcý çocuða sürpriz""",,,,
Pozitif,Duygu Ulaþ 2004 yýlýnda arabasýyla kaza yaparak bir kiþiyi yaralamýþ ve üç ay hapis cezasý almasý üzerine ‘Hakim bana taktý’ açýklamasý yapmýþtýr.,,,,
Pozitif,tüm hayatýmý makarna yiyerek geçirebilirmiþim gibi hissediyorum,,,,
Pozitif,"Kurtuluþ Savaþý’nýn en önemli adýmlarýndan olup ""Milli sýnýrlar içinde vatan bölünmez bir bütündür, parçalanamaz.” kararýyla Milli mücadelenin dönüm noktasý Erzurum Kongresi’nin 101. Yýl dönümünde Gazi Mustafa Kemal Atatürk ve tüm kahramanlarýmýzý saygý ve minnetle anýyorum.",,,,
Pozitif,Mert Fýrat'ýn þiddete uðrayan kadýnlar için çekilen videosu yeniden gündemde: ‘Çok maðdurum hakim bey’,,,,
Negatif,Allah sokak hayvanlarýna eziyet edenlerin canýndan alýp sokak hayvanlarýna versin.,,,,
Pozitif,Volkan Uzun denilen þahýs þu an Esat Karakolunda deðil. Esat Karakolunun önündeyiz. Tam bir bilgi de alamadýk. Duyarlý insanlar burada. Öldürülen köpeði o caný savunacaðýz. O katil serbest kalmasýn diye tüm mücadelemiz.,,,,
Pozitif,"%23 bence az, bu olsa olsa zamcýk olur.Zam dediðin en az %70 falan olacakki hissedesin.Þahsen %23 beni kesmedi, birþey hissetmedim.",,,,
Pozitif,"Araç muayene ücretlerine %23 zam yapýlmýþ, biz indirim olur mu diye beklerken",,,,
Pozitif,1 Ocak’ý bekleyin zamlar için.. bunlar ara zamlar.. yýllýk devlet bütçesi yüzyýlda görmediði açýðý görecek,,,,
Negatif,nasýl zam yapýlmýs mk zaten 422tl bir kaç tanesi muayene istasyonlarýnda arabalarýný yakar bu gidiþle,,,,
Pozitif,"Az yapmýþlar, bu millet daha büyüðünü hakediyor, iyi alýþtýk canýmýz çeker büyüðünü",,,,
Negatif,"Bakýn bu Çocuk ve Kadýn Katillerini ve Tecavüzcülerini hiç unutmamalýyýz.Bunlar Halkýn içinde asla rahat nefes alamamalýdýr.Cezasýný çekip Yargýnýn elinden kurtulsa da, asla Halkýn vicdanýnýn Þerrinden kurtulamamalýdýrlar.Allah belalarýný versin!",,,,
Negatif,öyle bi stres var ki vücutta yalýn ayak topraða bassak 7 mahalle aydýnlanýr mq,,,,
Negatif,"ski Baþbakan Tansu Çiller'in oðlu Mert Çiller, iki çocuðunun annesi Zeynep Çiller'i dövdüðü iddiasýyla mahkemelik oldu ",,,,
Pozitif,"Hakk'a yürüyen Þekerpýnar Mahallemiz sakinlerinden Þeref Kudu’ya Allah’tan rahmet, yakýnlarýna baþsaðlýðý ve sabýr diliyorum.",,,,
Pozitif,dünya turu yapan çiftler... daha çok kýskandýðým baþka bir þey yok,,,,
Pozitif,Biraz daha yatarsam yataðýmla nikah kýyýcam,,,,
Pozitif,Her gün kötü haberlere uyanýyoruz hem de kötülük seviyeleri bir önceki günden daha az olmayan yeni kötü haberlere. Ne fiziksel ne de mental refaha sahip deðiliz.,,,,
Pozitif,"Öðretim üyeliðini meslek hanesine yazan biyologlar var... Biz öðretim üyesi olarak çalýþan biyologlarýz. Mesleðimi soran birine profesörüm, öðretim üyesiyim demiyorum.",,,,
Pozitif,"Günaydýn, uyurken linç yemiþim niye söylemiyosunuz",,,,
Pozitif,Biyologlara gerekli eðilimi vermezseniz PCR testleri gibi gelecekte bir çok konuda sýkýntý yaþanýr. moleküler çaðdayýz ve gelecekte de atomik çaða geçilecek. Ülkenin temel bilimlere bakýþ açýsý ve ilgilisi kat ve kat artmalýdýr.,,,,
Pozitif,Siyasi karþýtlýk hakaret görür anlarým da apolitik olana hakaret etmek de çýktý asdfgh yani illa politikayla ilgili görüþ ayrýlýðýndan hakaret yiyeceksin bu topraklarda kaçarýn yok. Bu ülkede “herhangi bir siyasi görüþün politikasýný beðenen” politik var mý hakikaten?,,,,
Pozitif,Türkiye'nin çeþitli bölgelerinde çektiðim ve yaklaþýk 7 bin fotoðraftan oluþan bir gökyüzü yolculuðuna davet ediyorum sizleri.,,,,
Pozitif,Bugün Boðaziçi Sosyoloji whatsapp grubunda bir öðrenci Ýstanbul sözleþmesinin erkeðe zulüm ve inançlarýmýza ters olduðu gerekçesiyle kaldýrýlmasý gerektiðini savundu. Tweet bu kadar lol,,,,
Pozitif,"Pandemi dönemiyle hayatlarýmýza yeni normal olarak maskeler girdi. Saðlýðýmýzý korumak için nasýl maske kullanýyorsak dünyamýzýn, doðamýzýn saðlýðý için de kullandýðýmýz maskeleri doðaya deðil çöpe atmalýyýz.",,,,
Pozitif,Arkadaslarima beni soyle yururken falan videoya cek desem gulmekten altina sicar hepsi,,,,
Pozitif,"Kýzýmý uyutmaya çalýþýyorum, dönüp bana “anne bis napiyos” diyo... bilmiyorum kýzým deniyorum iþte bi þeyler.",,,,
Pozitif,"Köpek otopsiye alýndý. Anal bölgede parçalanma, kaburgalarda kýrýk, akciðerlerinde ve boðazýnda tahribat var. 3 aylýk bir cocker yavrusu. Koltukta týrnak izleri kalmýþ, her yer çiþ ve kaka. ",,,,
Pozitif,"Röportajda '' Kýskanç mýsýnýz?'' sorusunun yönetilmesi üzerine Serdar Ortaç ""Biri sevgilime popon güzel derse gurur duyarým."" dedi.",,,,
Pozitif,"Gündem çok kötü. Çocuklar, kadýnlar, hayvanlar ölüyor, istismara uðruyor. Ýdam meselesi de sürekli gündeme geliyor.Seçilmiþ vakalara (yýllarca çocuðuna istismarda bulunmuþ, sokakta kýzýn gözü önünde annesini býçaklayarak öldürmüþ gibi) idamýn gelmesi caydýrýcý ve adil olur mu?",,,,
Pozitif,"Ceza ile sorun çözmek etkin bir çözüm gibi gelmiyor bana. Bir ceza olarak idama, veremediðin caný almaya, her koþulda karþýyým.Türkiye'de ve dünyada bu tarz þiddetleri önlemenin birinci yolu zihniyet dünyamýzý deðiþtirmekten geçiyor. Bu da tabii ki ancak okullarda baþarýlabilir",,,,
Pozitif,"Antalya'da,  10 yaþýndaki kaðýt toplayýcýsýnýn, bir sitenin havuzunda yüzen çocuklarý izlerken çekilen fotoðrafýnýn sosyal medyada paylaþýlmasý üzerine Konyaaltý Belediyesi, çocuðu kardeþleriyle birlikte havuza götürüldü.",,,,
Pozitif,"3 aylýk Köpeðe tecavüz ediyor. Öldürüyor.Sorsanýz: Ýki bacak arasý namustan bahseder. Bu tipleri hepimiz tanýyoruz: Evrimini tamamlayamamýþ bir maymun türü... (Maymunlardan bu benzetme için özür dilerim. Zira bir çok Orangutan ve Goril türü çok daha merhametli, zeki ve akýllý..)",,,,
Pozitif,"Yeminle kuscam artýk bu nasýl bir zihniyetin ürünü, hangi beyinde hangi etkileþimler sonucu böyle þeyler akla geliyor birileri bunu araþtýrsýn da bi inhibitör bulalým allah aþkýna ya",,,,
Negatif,Þu þerefsiz evladýný yayabilir miyiz,,,,
Pozitif,Týp mezuniyeti ama ne maske ne sosyal mesafe. Bu ülke beni çok yoruyor,,,,
Pozitif,"Temiz yüz, güzel mizaç, iyi huy, samimi davranýþ, kendine has tavýr, yolcu misali takip mesafesi. Dünyadan göçtüðümüzde geriye bunlardan birini býrakabilirsek ne mutlu. Diðer her þey dünyada kalacak, yani yalan olacak.",,,,
Negatif,Enayi enayi,,,,
Pozitif,"Bu koronalar ailecek insanlýða musallat olmuþ! Neyse ki çok ölümcül olan SARS ve MERS püskürtüldü, diðer dördü sadece soðuk algýnlýðý ile kalýp, bizimle pek uðraþmýyor-baðýþýklýk sistemi öðrenmiþ bunlarý -geriye covid19 yapan, aileye yeni katýlan kaldý, onu da bertaraf edeceðiz!",,,,
Pozitif,Þeytanlarýn suçlarý tek tek ifþa ediliyorÝkiz kulelerin kontrollü yý?ýldýðý bilimsel olarak ispat edilmiþ.,,,,
Pozitif,"Ne çocuklarý kurtarabildik,ne kadýnlarý ne hayvanlarý.Alt tarafý bir çiçek koklayýp,bir hayvan sahiplenip,birkaç insan tanýyýp,sevip gidecektik dünyadan.Nasýl kötü zamana denk geldi ömrümüz.Vicdansýzlarýn, sapýklarýn, katillerin, nefretin ortasýna düþtük!",,,,
Pozitif,"mor ve ötesi daha mutlu olamam derken daha, mutlu olamam mý demek istemiþ yoksa bundan daha mutlu olmamam mý",,,,
Pozitif,Rüya boþandýðý erkek Tarýk Keskin’den ölüm tehditleri alýyor. Tarýk Keskin Rüya’yý tehdit ve darp etmesine raðmen hala gözaltýna alýnmadý!,,,,
Pozitif,Sokakta önüne çýkan kediyi ezmemek için motosikletiyle kaza yaptý,,,,
Pozitif,Diyanet Ýþleri Baþkaný Erbaþ:  Ayasofya'da 3 imam ve 5 müezzin görev yapacak,,,,
